Time,FPz,Cz
4367.1875,29.7456,53.9045
4375.0000,27.9047,54.7103
4382.8125,24.9394,45.3233
4390.6250,20.7639,53.4506
4398.4375,7.2590,47.1159
4406.2500,6.8576,47.5443
4414.0625,12.5595,54.8687
4421.8750,13.2587,54.2914
4429.6875,14.4524,61.5670
4437.5000,16.1649,62.1844
4445.3125,29.0466,68.2367
4453.1250,30.2140,61.8553
4460.9375,35.0655,73.8101
4468.7500,27.3786,73.9125
4476.5625,54.5388,78.0826
4484.3750,43.5747,66.8793
4492.1875,40.1801,69.9309
4500.0000,35.6459,61.2380
4507.8125,30.6584,62.7019
4515.6250,23.1466,47.9749
4523.4375,26.9961,50.6456
4531.2500,27.2337,59.9094
4539.0625,22.3655,57.5798
4546.8750,31.5461,67.9314
4554.6875,33.6582,63.8950
4562.5000,35.9456,66.2235
4570.3125,29.4214,57.8306
4578.1250,31.9601,58.3519
4585.9375,25.9749,55.1605
4593.7500,27.1159,68.0149
4601.5625,23.5660,63.8661
4609.3750,34.0124,63.3641
4617.1875,19.4111,52.2471
4625.0000,24.3346,59.2441
4632.8125,28.7392,58.1666
4640.6250,33.9294,66.5070
4648.4375,32.1561,68.9626
4656.2500,27.8263,77.2801
4664.0625,21.7364,84.6116
4671.8750,15.6040,77.1618
4679.6875,19.9577,81.6459
4687.5000,19.3759,77.7509
4695.3125,18.0543,72.5475
4703.1250,12.1993,61.1806
4710.9375,25.5765,74.9545
4718.7500,11.0933,58.8305
4726.5625,23.1645,69.1734
4734.3750,26.0565,74.6605
4742.1875,26.5373,82.2287
4750.0000,27.4676,86.9194
4757.8125,29.3260,89.0380
4765.6250,20.9215,73.9062
4773.4375,27.4808,67.2122
4781.2500,20.5213,65.7405
4789.0625,21.0163,67.7643
4796.8750,24.5986,58.2899
4804.6875,16.1541,48.2720
4812.5000,28.3718,67.2831
4820.3125,17.8837,57.8092
4828.1250,14.3508,61.2791
4835.9375,10.3252,58.2875
4843.7500,17.6698,60.8285
4851.5625,14.0935,59.3160
4859.3750,21.4726,74.4414
4867.1875,12.7458,64.6770
4875.0000,13.3527,60.2111
4882.8125,4.0389,48.4927
4890.6250,-1.9890,44.8394
4898.4375,2.0672,49.4289
4906.2500,6.7134,57.0159
4914.0625,1.8421,59.2182
